MONLOC_AB,StartDate,StartTime,DataLoggerLineName,Deployment,ProjectIdentifier,ActivityIdentifier,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,DataType,UseForCalc,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",9.95,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",9.92,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.89,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.83,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.81,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.78,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.72,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.69,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.68,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.64,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.59,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.59,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.56,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.51,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,03:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.47,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,03:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.42,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,03:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.4,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,03:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.38,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,04:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.36,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,04:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.33,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,04:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.29,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,04:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.25,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,05:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.23,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,05:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.21,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,05:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.18,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,05:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.14,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,06:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.12,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,06:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.11,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,06:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.06,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,06:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.04,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,07:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.04,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,07:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.04,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,07:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.03,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,07:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.03,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,08:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.03,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,08:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.03,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,08:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.05,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,08:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.07,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,09:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.1,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,09:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.15,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,09:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.18,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,09:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.23,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,10:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.29,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,10:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.36,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,10:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.46,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,10:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.56,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,11:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.68,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,11:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.82,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,11:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.94,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,11:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.12,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,12:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.28,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,12:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.42,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,12:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.59,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
